time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2026-03-27 00:00:00,25,23.1,89,0,,110,17,,1009,,2
2026-03-27 01:00:00,25,23.1,89,0,,110,19,,1009,,2
2026-03-27 02:00:00,24,23,94,0,,110,15,,1009,,5
2026-03-27 03:00:00,24,23,94,0,,100,11,,1008,,5
2026-03-27 04:00:00,24,23,94,0,,130,13,,1008,,5
2026-03-27 05:00:00,24,23,94,0,,140,13,,1008,,5
2026-03-27 06:00:00,24,23,94,0,,120,15,,1009,,5
2026-03-27 07:00:00,24,23,94,0,,110,13,,1010,,5
2026-03-27 08:00:00,24,23,94,0,,110,13,,1010,,5
2026-03-27 09:00:00,25,23.1,89,0,,110,19,,1011,,2
2026-03-27 10:00:00,25,24,94,0,,110,11,,1011,,2
2026-03-27 11:00:00,25,23.1,89,0,,110,19,,1011,,2
2026-03-27 12:00:00,27,24.1,84,0,,130,15,,1010,,2
2026-03-27 13:00:00,29,24.1,75,0,,130,13,,1008,,2
2026-03-27 14:00:00,28,24,79,0,,130,19,,1007,,2
2026-03-27 15:00:00,27,24.1,84,0,,130,20,,1006,,2
2026-03-27 16:00:00,27,24.1,84,0,,130,20,,1006,,2
2026-03-27 17:00:00,26,23.1,84,0,,130,19,,1006,,2
2026-03-27 18:00:00,26,23.1,84,0,,150,17,,1006,,2
2026-03-27 19:00:00,26,23.1,84,0,,140,15,,1007,,2
2026-03-27 20:00:00,26,23.1,84,0,,130,15,,1008,,2
2026-03-27 21:00:00,26,23.1,84,0,,140,17,,1009,,2
2026-03-27 22:00:00,25,23.1,89,0,,140,15,,1009,,2
2026-03-27 23:00:00,25,23.1,89,0,,140,13,,1009,,2
2026-03-28 00:00:00,25,23.1,89,0,,140,9,,1009,,2
2026-03-28 01:00:00,25,22.1,84,0,,130,11,,1009,,2
2026-03-28 02:00:00,25,22.1,84,0,,140,11,,1008,,2
2026-03-28 03:00:00,25,22.1,84,0,,120,13,,1008,,2
2026-03-28 04:00:00,25,22.1,84,0,,120,11,,1008,,2
2026-03-28 05:00:00,25,22.1,84,0,,110,11,,1008,,2
2026-03-28 06:00:00,24,23,94,0,,90,7,,1009,,2
2026-03-28 07:00:00,25,23.1,89,0,,100,9,,1010,,5
2026-03-28 08:00:00,25,23.1,89,0,,110,13,,1011,,2
2026-03-28 09:00:00,26,23.1,84,0,,130,15,,1011,,2
2026-03-28 10:00:00,26,23.1,84,0,,120,17,,1011,,2
2026-03-28 11:00:00,27,23,79,0,,140,17,,1011,,2
2026-03-28 12:00:00,27,24.1,84,0,,150,13,,1010,,2
2026-03-28 13:00:00,28,24,79,0,,160,15,,1009,,2
2026-03-28 14:00:00,29,24.1,75,0,,160,17,,1008,,2
2026-03-28 15:00:00,27,24.1,84,0,,150,15,,1007,,2
2026-03-28 16:00:00,27,23,79,0,,140,17,,1006,,2
2026-03-28 17:00:00,27,23,79,0,,150,15,,1006,,2
2026-03-28 18:00:00,27,23,79,0,,130,17,,1007,,2
2026-03-28 19:00:00,26,23.1,84,0,,120,17,,1007,,3
2026-03-28 20:00:00,26,23.1,84,0,,130,17,,1008,,2
2026-03-28 21:00:00,26,24,89,0,,120,19,,1009,,2
2026-03-28 22:00:00,26,24,89,0,,100,13,,1009,,2
2026-03-28 23:00:00,25,24,94,0,,110,13,,1009,,2
2026-03-29 00:00:00,25,24,94,0,,110,13,,1009,,2
2026-03-29 01:00:00,25,24,94,0,,120,17,,1008,,2
2026-03-29 02:00:00,25,23.1,89,0,,110,13,,1008,,2
2026-03-29 03:00:00,25,23.1,89,0,,90,7,,1007,,2
2026-03-29 04:00:00,24,24,100,0,,110,9,,1008,,7
2026-03-29 05:00:00,24,23,94,0,,80,9,,1008,,7
2026-03-29 06:00:00,24,23,94,0,,100,9,,1008,,2
2026-03-29 07:00:00,24,24,100,0,,120,13,,1009,,8
2026-03-29 08:00:00,25,24,94,0,,130,15,,1010,,5
2026-03-29 09:00:00,25,24,94,0,,150,9,,1011,,3
2026-03-29 10:00:00,24,24,100,0,,150,15,,1011,,3
2026-03-29 11:00:00,28,22,70,0,,170,13,,1008,,2
2026-03-29 12:00:00,29,23,70,0,,110,17,,1008,,2
2026-03-29 13:00:00,30,25.1,75,0,,130,20,,1007,,2
2026-03-29 14:00:00,30,25.1,75,0,,140,26,,1005,,2
2026-03-29 15:00:00,29,24.1,75,0,,120,28,,1005,,2
2026-03-29 16:00:00,28,24,79,0,,140,26,,1005,,2
2026-03-29 17:00:00,27,24.1,84,0,,120,20,,1004,,2
2026-03-29 18:00:00,27,24.1,84,0,,130,28,,1005,,2
2026-03-29 19:00:00,26,24,89,0,,130,19,,1006,,2
2026-03-29 20:00:00,26,24,89,0,,110,19,,1007,,2
2026-03-29 21:00:00,26,24,89,0,,130,20,,1007,,2
2026-03-29 22:00:00,26,24,89,0,,130,15,,1007,,2
2026-03-29 23:00:00,26,24,89,0,,130,19,,1007,,2
2026-03-30 00:00:00,26,24,89,0,,100,15,,1007,,2
2026-03-30 01:00:00,25,24,94,0,,100,13,,1007,,5
2026-03-30 02:00:00,25,24,94,0,,90,13,,1005,,5
2026-03-30 03:00:00,25,23.1,89,0,,160,11,,1006,,8
2026-03-30 04:00:00,23,20,83,0,,210,17,,1006,,2
2026-03-30 05:00:00,23,21.1,89,0,,220,7,14,1007,,2
2026-03-30 06:00:00,23,20,83,0,,260,9,,1006,,8
2026-03-30 07:00:00,23,21.1,89,0,,210,11,,1007,,2
2026-03-30 08:00:00,24,23,94,0,,140,9,,1008,,5
2026-03-30 09:00:00,26,24,89,0,,120,7,,1009,,5
2026-03-30 10:00:00,27,24.1,84,0,,120,11,,1009,,5
2026-03-30 11:00:00,28,25,84,0,,120,17,,1008,,2
2026-03-30 12:00:00,29,25,79,0,,120,19,,1007,,2
2026-03-30 13:00:00,30,25.1,75,0,,110,19,,1006,,2
2026-03-30 14:00:00,31,25.1,71,0,,130,19,,1005,,2
2026-03-30 15:00:00,31,25.1,71,0,,120,20,,1004,,2
2026-03-30 16:00:00,30,25.1,75,0,,110,22,,1003,,2
2026-03-30 17:00:00,29,25,79,0,,110,20,,1003,,2
2026-03-30 18:00:00,28,24,79,0,,120,20,,1004,,2
2026-03-30 19:00:00,27,25,89,0,,100,19,,1005,,2
2026-03-30 20:00:00,27,24.1,84,0,,100,17,,1005,,2
2026-03-30 21:00:00,26,24,89,0,,110,8,,1007,,2
2026-03-30 22:00:00,26,24,89,0,,100,8,,1007,,2
2026-03-30 23:00:00,26,24,89,0,,90,6,,1007,,2
2026-03-31 00:00:00,26,24,89,0,,110,8,,1007,,2
2026-03-31 01:00:00,26,24,89,0,,110,7,,1006,,2
2026-03-31 02:00:00,26,24,89,0,,120,8,,1006,,2
2026-03-31 03:00:00,25,24,94,0,,110,6,,1006,,2
2026-03-31 04:00:00,25,24,94,0,,110,7,,1005,,2
2026-03-31 05:00:00,25,24,94,0,,110,5,,1006,,2
2026-03-31 06:00:00,25,24,94,0,,100,6,,1006,,2
2026-03-31 07:00:00,25,24,94,0,,110,4,,1008,,2
2026-03-31 08:00:00,26,24,89,0,,100,4,,1008,,5
2026-03-31 09:00:00,26,24,89,0,,110,5,,1009,,5
2026-03-31 10:00:00,27,24.1,84,0,,110,5,,1008,,5
2026-03-31 11:00:00,28,24,79,0,,80,5,,1008,,5
2026-03-31 12:00:00,29,23.9,74,0,,100,6,,1007,,2
2026-03-31 13:00:00,30,25.1,75,0,,80,6,,1006,,2
2026-03-31 14:00:00,31,24.9,70,0,,80,7,,1005,,2
2026-03-31 15:00:00,31,24.9,70,0,,120,7,,1004,,2
2026-03-31 16:00:00,31,23.9,66,0,,80,7,,1004,,2
2026-03-31 17:00:00,30,25.1,75,0,,70,7,,1004,,2
2026-03-31 18:00:00,29,25,79,0,,80,6,,1005,,2
2026-03-31 19:00:00,28,25,84,0,,120,7,,1006,,2
2026-03-31 20:00:00,28,25,84,0,,110,8,,1007,,2
2026-03-31 21:00:00,27,25,89,0,,100,7,,1008,,2
2026-03-31 22:00:00,27,24.1,84,0,,120,8,,1009,,2
2026-03-31 23:00:00,27,25,89,0,,60,6,,1010,,2
2026-04-01 00:00:00,27,21,70,0,,60,8,,1010,,2
2026-04-01 01:00:00,26,20.1,70,0,,30,8,,1010,,2
2026-04-01 02:00:00,25,20,74,0,,60,5,,1010,,2
2026-04-01 03:00:00,25,18,65,0,,40,10,,1010,,2
2026-04-01 04:00:00,23,17.9,73,0,,50,8,,1010,,2
2026-04-01 05:00:00,23,19,78,0,,60,6,,1011,,3
2026-04-01 06:00:00,22,19,83,0,,70,3,,1011,,2
2026-04-01 07:00:00,23,19,78,0,,70,4,,1013,,2
2026-04-01 08:00:00,23,19,78,0,,90,5,,1014,,2
2026-04-01 09:00:00,25,18.9,69,0,,60,6,,1014,,2
2026-04-01 10:00:00,25,18.9,69,0,,90,7,,1014,,3
2026-04-01 11:00:00,26,17.9,61,0,,80,7,,1014,,2
2026-04-01 12:00:00,26,17.1,58,0,,60,7,,1013,,2
2026-04-01 13:00:00,26,17.9,61,0,,60,6,,1012,,2
2026-04-01 14:00:00,27,18,58,0,,90,4,,1011,,2
2026-04-01 15:00:00,27,19.1,62,0,,90,4,,1009,,2
2026-04-01 16:00:00,27,19.1,62,0,,70,5,,1009,,2
2026-04-01 17:00:00,27,19.1,62,0,,50,3,,1009,,2
2026-04-01 18:00:00,26,18.9,65,0,,70,5,,1009,,2
2026-04-01 19:00:00,26,18.9,65,0,,50,3,,1010,,2
2026-04-01 20:00:00,26,20.1,70,0,,20,2,,1011,,2
2026-04-01 21:00:00,26,20.1,70,0,,341,1,,1012,,2
2026-04-01 22:00:00,25,20,74,0,,160,6,,1012,,2
2026-04-01 23:00:00,24,19.9,78,0,,170,7,,1012,,2
2026-04-02 00:00:00,24,20.9,83,0,,170,6,,1012,,2
2026-04-02 01:00:00,24,20.9,83,0,,130,7,,1011,,2
2026-04-02 02:00:00,24,20.9,83,0,,130,6,,1011,,2
2026-04-02 03:00:00,23,21.1,89,0,,150,5,,1011,,2
2026-04-02 04:00:00,23,21.1,89,0,,120,4,,1011,,2
2026-04-02 05:00:00,23,21.1,89,0,,150,7,,1011,,3
2026-04-02 06:00:00,23,21.1,89,0,,150,6,,1011,,3
2026-04-02 07:00:00,23,22,94,0,,120,5,,1012,,3
